Recovery Year, Reporting Agency, Sampling Agency,State,Region, Detection Method, PSC Fishery, Fis-Gear, RMIS Region, SUM Observed, SUM Estimated
2010,QDNR,QDNR,WA,WA,Electronic,Coastal Gillnet,Unspecified,GRAY,37,123.7
2010,QDNR,QDNR,WA,WA,Electronic,Coastal Gillnet,Unspecified,NWC,614,1896.08
2010,QDNR,QDNR,WA,WA,Electronic,Mixed Wild Broodstock and Hatchery Returns,Unspecified,NWC,397,432.73
2010,QDNR,QDNR,WA,WA,Electronic,Spawning Ground,Unspecified,NWC,4,
2010,QDNR,QDNR,WA,WA,Electronic,Wild Broodstock Collection,Unspecified,NWC,8,9.04
2010,ODFW,ODFW,OR,CR,Visual,Treaty Subsistence,Subsistence,CECR,17,
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Escapement,UPCR,7016,9186.26
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Escapement,CECR,4026,13969.36
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Hatchery,UPCR,3508,4593.13
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Hatchery,CECR,2013,6984.68
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Hatchery Rack,UPCR,3508,4593.13
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Hatchery Rack,CECR,2013,6984.68
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Hatchery Returns,UPCR,7016,9186.26
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Unspecified,SNAK,286,286
2010,USFWS,USFWS,WA,CR,Electronic,Treaty Subsistence,Unspecified,SNAK,22,
2010,USFWS,USFWS,WA,CR,Electronic,Hatchery,Hatchery Returns,CECR,4026,13969.36
2010,USFWS,USFWS,WA,WA,Visual,Hatchery,Escapement,NWC,608,705.56
2010,USFWS,USFWS,WA,WA,Visual,Hatchery,Escapement,SAFA,17952,17954.6
2010,USFWS,USFWS,WA,CR,Visual,Hatchery,Escapement,CECR,1528,2663.28
2010,USFWS,USFWS,WA,WA,Visual,Hatchery,Hatchery,NWC,304,352.78
2010,USFWS,USFWS,WA,WA,Visual,Hatchery,Hatchery,SAFA,8976,8977.3
2010,USFWS,USFWS,WA,CR,Visual,Hatchery,Hatchery,CECR,764,1331.64
2010,USFWS,USFWS,WA,WA,Visual,Hatchery,Hatchery Rack,NWC,304,352.78
2010,USFWS,USFWS,WA,WA,Visual,Hatchery,Hatchery Rack,SAFA,8976,8977.3
2010,USFWS,USFWS,WA,CR,Visual,Hatchery,Hatchery Rack,CECR,764,1331.64
2010,USFWS,USFWS,WA,WA,Visual,Hatchery,Hatchery Returns,NWC,608,705.56
2010,USFWS,USFWS,WA,WA,Visual,Hatchery,Hatchery Returns,SAFA,17952,17954.6
2010,USFWS,USFWS,WA,WA,Visual,Spawning Ground,Spawning Ground,SAFA,760,
2010,USFWS,USFWS,WA,CR,Visual,Spawning Ground,Unspecified,UPCR,27,138.92
2010,WDFW,WDFW,WA,WA,Electronic,Coastal Gillnet,Non-treaty Drift Gillnet,GRAY,52,222.05
2010,WDFW,WDFW,WA,WA,Electronic,Coastal Gillnet,Non-treaty Drift Gillnet,WILP,183,506.02
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,HOOD,24,54.32
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,JUAN,313,932.15
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,MPS,154,504.59
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,NOWA,97,303.68
